date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:47	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Oct%202022%2013:12:47%20GMT	https://sophiekerboul.com/robots.txt		(from )
15:12:48	19292/19292	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2013:12:47%20GMT	https://sophiekerboul.com/	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/index.html	(from )
15:12:48	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2023%20Oct%202022%2013:12:48%20GMT	https://sophiekerboul.com/xmlrpc.php	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/xmlrpc.php	(from https://sophiekerboul.com/)
15:12:48	1147/1147	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Aug%202016%2014:08:52%20GMT	https://sophiekerboul.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.5	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/plugins/contact-form-7/includes/css/styles11b8.css	(from https://sophiekerboul.com/)
15:12:48	156806/156806	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/tc_common.min.css?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/tc_common.mindd6f.css	(from https://sophiekerboul.com/)
15:12:48	10042/10042	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/green.min.css?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/green.mindd6f.css	(from https://sophiekerboul.com/)
15:12:49	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.eot	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.eot	(from https://sophiekerboul.com/)
15:12:49	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.eot?	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfontd41d.eot	(from https://sophiekerboul.com/)
15:12:49	33241/33241	---MC-	200	added ('OK')	application/rss+xml	etag:%228944e0b91b3122e8107c2bbcd65a0ee9%22	https://sophiekerboul.com/?feed=rss2	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/indexd784.html	(from https://sophiekerboul.com/)
15:12:49	66624/66624	---M--	200	added ('OK')	text/html	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.woff2	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/css/fonts/fonts/fontawesome-webfont.html	(from https://sophiekerboul.com/)
